conflict_country,iso3c,med_loc_x,med_loc_y,latitude_con,longitude_con,dist_mediation_conflict,mediation_count,agreements_sum,fatalities_best
Syria,SYR,37.933,26.6,35.01677733,38.48446214,938428.2105,1,0,0
Syria,SYR,37.965,36.51,35.01677733,38.48446214,172719.6204,1,1,0
Syria,SYR,39.173,21.543,35.01677733,38.48446214,1501398.986,4,0,0
Syria,SYR,40.133,35.333,35.01677733,38.48446214,154077.1414,2,0,0
Syria,SYR,40.742,36.512,35.01677733,38.48446214,263209.9492,1,0,0
Syria,SYR,44.366,33.315,35.01677733,38.48446214,573785.7867,4,0,0
Syria,SYR,45,25,35.01677733,38.48446214,1278956.466,1,0,0
Syria,SYR,46.717,24.633,35.01677733,38.48446214,1401623.999,1,0,0
Syria,SYR,47.978,29.37,35.01677733,38.48446214,1092259.213,1,0,0
Syria,SYR,51.389,35.689,35.01677733,38.48446214,1173177.005,1,0,0
Syria,SYR,51.533,25.287,35.01677733,38.48446214,1655702.867,2,0,0
Syria,SYR,54,24,35.01677733,38.48446214,1935556.183,1,0,0
Syria,SYR,58.592,23.614,35.01677733,38.48446214,2320864.987,2,0,0
Syria,SYR,71.422,51.147,35.01677733,38.48446214,3182824.04,5,0,0
Syria,SYR,102.496,19.856,35.01677733,38.48446214,6437580.624,1,0,0
Syria,SYR,116.397,39.907,35.01677733,38.48446214,6681506.43,1,0,0
Yemen,NA,-81.25,42.984,15.5539046,48.1748476,NA,2,0,497
Yemen,NA,-77.101,38.879,15.5539046,48.1748476,NA,1,0,168
Yemen,NA,-77.016,38.905,15.5539046,48.1748476,NA,10,0,1997
Yemen,NA,-74.268,4.734,15.5539046,48.1748476,NA,1,0,0
Yemen,NA,-73.925,40.694,15.5539046,48.1748476,NA,10,0,648
Yemen,NA,2.352,48.857,15.5539046,48.1748476,NA,2,0,593
Yemen,NA,4.352,50.847,15.5539046,48.1748476,NA,1,0,790
Yemen,NA,6.147,46.202,15.5539046,48.1748476,NA,5,3,1391
Yemen,NA,9.836,46.803,15.5539046,48.1748476,NA,1,0,0
Yemen,NA,13.405,52.52,15.5539046,48.1748476,NA,1,0,816
Yemen,NA,18.069,59.329,15.5539046,48.1748476,NA,2,1,169
Yemen,NA,21.011,52.23,15.5539046,48.1748476,NA,1,0,217
Yemen,NA,30,27,15.5539046,48.1748476,NA,2,0,816
Yemen,NA,31.236,30.044,15.5539046,48.1748476,NA,2,0,2587
Yemen,NA,35.933,31.95,15.5539046,48.1748476,NA,30,5,7376
Yemen,NA,36,31,15.5539046,48.1748476,NA,1,1,204
Yemen,NA,37.617,55.756,15.5539046,48.1748476,NA,10,0,3108
Yemen,NA,39.173,21.543,15.5539046,48.1748476,NA,5,1,4158
Yemen,NA,42.951,14.802,15.5539046,48.1748476,NA,4,1,893
Yemen,NA,44,33,15.5539046,48.1748476,NA,1,0,816
Yemen,NA,44.022,13.579,15.5539046,48.1748476,NA,3,0,2569
Yemen,NA,44.206,15.348,15.5539046,48.1748476,NA,35,3,14747
Yemen,NA,44.366,33.315,15.5539046,48.1748476,NA,1,0,1017
Yemen,NA,45,25,15.5539046,48.1748476,NA,2,0,3071
Yemen,NA,45.033,12.8,15.5539046,48.1748476,NA,21,2,12966
Yemen,NA,46.717,24.633,15.5539046,48.1748476,NA,71,5,23943
Yemen,NA,47.658,29.337,15.5539046,48.1748476,NA,2,0,2651
Yemen,NA,48,15,15.5539046,48.1748476,NA,2,1,910
Yemen,NA,50.578,26.225,15.5539046,48.1748476,NA,1,0,0
Yemen,NA,51.25,25.5,15.5539046,48.1748476,NA,1,0,53
Yemen,NA,51.389,35.689,15.5539046,48.1748476,NA,11,0,7355
Yemen,NA,51.533,25.287,15.5539046,48.1748476,NA,2,0,0
Yemen,NA,53,32,15.5539046,48.1748476,NA,1,0,3071
Yemen,NA,54,24,15.5539046,48.1748476,NA,6,1,1483
Yemen,NA,54.367,24.467,15.5539046,48.1748476,NA,8,0,4829
Yemen,NA,55.297,25.263,15.5539046,48.1748476,NA,1,0,83
Yemen,NA,57,21,15.5539046,48.1748476,NA,8,0,4333
Yemen,NA,58.592,23.614,15.5539046,48.1748476,NA,35,3,7878
Yemen,NA,116.397,39.907,15.5539046,48.1748476,NA,1,0,48
Yemen,NA,139.692,35.69,15.5539046,48.1748476,NA,1,0,48
