"conflict_country","iso3c","YYYYMM","med_loc_x","med_loc_y","latitude_con","longitude_con","dist_mediation_conflict","mediation_count","agreements_sum","fatalities_best"
"Yemen","YEM","202403",-77.016,38.905,15.5527,48.5164,11744642.3885551,2,0,0
"Yemen","YEM","202404",-77.016,38.905,15.5527,48.5164,11744642.3885551,1,0,0
"Yemen","YEM","202404",-74.268,4.734,15.5527,48.5164,13341742.0212229,1,0,0
"Yemen","YEM","201909",-73.925,40.694,15.5527,48.5164,11413992.4139685,2,0,0
"Yemen","YEM","201911",-73.925,40.694,15.5527,48.5164,11413992.4139685,1,0,0
"Yemen","YEM","202209",-73.925,40.694,15.5527,48.5164,11413992.4139685,1,0,0
"Yemen","YEM","202309",-73.925,40.694,15.5527,48.5164,11413992.4139685,1,0,0
"Yemen","YEM","202312",-73.925,40.694,15.5527,48.5164,11413992.4139685,1,0,0
"Yemen","YEM","202406",-73.925,40.694,15.5527,48.5164,11413992.4139685,1,0,0
"Yemen","YEM","202409",-73.925,40.694,15.5527,48.5164,11413992.4139685,1,0,0
"Yemen","YEM","202410",-73.925,40.694,15.5527,48.5164,11413992.4139685,2,0,0
"Yemen","YEM","201801",2.352,48.857,15.5527,48.5164,5581546.78523093,1,0,0
"Yemen","YEM","202303",2.352,48.857,15.5527,48.5164,5581546.78523093,1,0,0
"Yemen","YEM","202103",4.352,50.847,15.5527,48.5164,5553685.1175176,1,0,0
"Yemen","YEM","201804",6.147,46.202,15.5527,48.5164,5195694.025966,1,0,0
"Yemen","YEM","201809",6.147,46.202,15.5527,48.5164,5195694.025966,1,0,0
"Yemen","YEM","201909",6.147,46.202,15.5527,48.5164,5195694.025966,1,1,0
"Yemen","YEM","202009",6.147,46.202,15.5527,48.5164,5195694.025966,1,1,0
"Yemen","YEM","202303",6.147,46.202,15.5527,48.5164,5195694.025966,1,1,0
"Yemen","YEM","202401",9.836,46.803,15.5527,48.5164,4980906.68491025,1,0,0
"Yemen","YEM","202104",13.405,52.52,15.5527,48.5164,5141482.99794527,1,0,0
"Yemen","YEM","201812",18.069,59.329,15.5527,48.5164,5469710.47534393,2,1,0
"Yemen","YEM","201902",21.011,52.23,15.5527,48.5164,4749569.86491271,1,0,0
"Yemen","YEM","202104",30,27,15.5527,48.5164,2300202.84057795,2,0,0
"Yemen","YEM","202111",31.236,30.044,15.5527,48.5164,2391177.78191381,1,0,0
"Yemen","YEM","202308",31.236,30.044,15.5527,48.5164,2391177.78191381,1,0,0
"Yemen","YEM","201808",35.933,31.95,15.5527,48.5164,2226396.29439305,1,0,0
"Yemen","YEM","201811",35.933,31.95,15.5527,48.5164,2226396.29439305,1,0,0
"Yemen","YEM","201901",35.933,31.95,15.5527,48.5164,2226396.29439305,2,0,0
"Yemen","YEM","201902",35.933,31.95,15.5527,48.5164,2226396.29439305,1,1,0
"Yemen","YEM","201905",35.933,31.95,15.5527,48.5164,2226396.29439305,1,0,0
"Yemen","YEM","201909",35.933,31.95,15.5527,48.5164,2226396.29439305,1,0,0
"Yemen","YEM","202001",35.933,31.95,15.5527,48.5164,2226396.29439305,1,1,0
"Yemen","YEM","202002",35.933,31.95,15.5527,48.5164,2226396.29439305,2,1,0
"Yemen","YEM","202102",35.933,31.95,15.5527,48.5164,2226396.29439305,1,0,0
"Yemen","YEM","202203",35.933,31.95,15.5527,48.5164,2226396.29439305,7,0,0
"Yemen","YEM","202205",35.933,31.95,15.5527,48.5164,2226396.29439305,2,0,0
"Yemen","YEM","202206",35.933,31.95,15.5527,48.5164,2226396.29439305,1,0,0
"Yemen","YEM","202207",35.933,31.95,15.5527,48.5164,2226396.29439305,2,1,0
"Yemen","YEM","202208",35.933,31.95,15.5527,48.5164,2226396.29439305,1,1,0
"Yemen","YEM","202306",35.933,31.95,15.5527,48.5164,2226396.29439305,1,0,0
"Yemen","YEM","202410",35.933,31.95,15.5527,48.5164,2226396.29439305,4,0,0
"Yemen","YEM","202412",35.933,31.95,15.5527,48.5164,2226396.29439305,1,0,0
"Yemen","YEM","201909",36,31,15.5527,48.5164,2139777.18464706,1,1,0
"Yemen","YEM","201901",37.617,55.756,15.5527,48.5164,4571192.44101612,1,0,0
"Yemen","YEM","201907",37.617,55.756,15.5527,48.5164,4571192.44101612,1,0,0
"Yemen","YEM","202111",37.617,55.756,15.5527,48.5164,4571192.44101612,1,0,0
"Yemen","YEM","202303",37.617,55.756,15.5527,48.5164,4571192.44101612,1,0,0
"Yemen","YEM","202403",37.617,55.756,15.5527,48.5164,4571192.44101612,1,0,0
"Yemen","YEM","202404",37.617,55.756,15.5527,48.5164,4571192.44101612,1,0,0
"Yemen","YEM","202407",37.617,55.756,15.5527,48.5164,4571192.44101612,1,0,0
"Yemen","YEM","202408",37.617,55.756,15.5527,48.5164,4571192.44101612,1,0,0
"Yemen","YEM","202410",37.617,55.756,15.5527,48.5164,4571192.44101612,2,0,0
"Yemen","YEM","201901",39.173,21.543,15.5527,48.5164,1189796.97567263,1,0,0
"Yemen","YEM","201908",39.173,21.543,15.5527,48.5164,1189796.97567263,1,0,0
